Unnamed: 0,Variety,Freq,d(cm),M%,Density,Attn,Phase,Phase_Corr,Permittivity_real,Permittivity_imaginary,Type,Phase/Attn,Freq*d(cm),Freq*Attn
0.0,KANSAS,7.0,8.9,11.3,0.7356,8.8258,-55.973,-415.973,2.416,0.243,15.855505617977526,-6.341974665186159,62.3,61.78059999999999
1.0,KANSAS,8.0,8.9,11.3,0.7356,10.2572,-114.289,-474.289,2.412,0.246,15.855505617977526,-11.142319541395311,71.2,82.0576
2.0,KANSAS,9.0,8.9,11.3,0.7356,11.5679,-168.171,-528.171,2.395,0.246,15.855505617977526,-14.537729406374536,80.10000000000001,104.1111
3.0,KANSAS,10.0,8.9,11.3,0.7356,12.8795,134.849,-585.151,2.39,0.246,15.855505617977526,10.470049303156175,89.0,128.79500000000002
4.0,KANSAS,11.0,8.9,11.3,0.7356,13.7649,83.502,-636.498,2.371,0.238,15.855505617977526,6.066299065013185,97.9,151.4139
5.0,KANSAS,12.0,8.9,11.3,0.7356,14.4249,27.323,-692.677,2.368,0.229,15.855505617977526,1.8941552454436428,106.8,173.09879999999998
6.0,KANSAS,13.0,8.9,11.3,0.7356,15.0405,-26.224,-746.224,2.359,0.22,15.855505617977526,-1.7435590572121935,115.7,195.5265
7.0,KANSAS,14.0,8.9,11.3,0.7356,16.1934,-85.408,-805.408,2.362,0.22,15.855505617977526,-5.2742475329455205,124.6,226.7076
8.0,KANSAS,15.0,8.9,11.3,0.7356,17.7211,-139.456,-859.456,2.355,0.225,15.855505617977526,-7.869488914345045,133.5,265.8165
9.0,KANSAS,16.0,8.9,11.3,0.7356,19.5762,164.202,-915.798,2.353,0.232,15.855505617977526,8.38783829343795,142.4,313.2192
10.0,KANSAS,17.0,8.9,11.3,0.7356,20.9151,113.905,-966.095,2.342,0.232,15.855505617977526,5.44606528297737,151.3,355.5567
11.0,KANSAS,18.0,8.9,11.3,0.7356,21.31,58.282,-1021.718,2.34,0.224,15.855505617977526,2.734960112623181,160.20000000000002,383.58
12.0,KANSAS,6.0,8.9,11.3,0.7859,8.0242,-26.205,-386.205,2.562,0.265,15.855505617977526,-3.2657461179930705,53.400000000000006,48.1452
13.0,KANSAS,7.0,8.9,11.3,0.7859,9.396,-82.811,-442.811,2.529,0.264,15.855505617977526,-8.813431247339294,62.3,65.772
